customer,name,name_norm,terms,terms_description,ship_via,def_wh,div,active,addr1,city,state,postal
HAPPYHALLO,HAPPY HALLOW O.C.,HAPPYHALLOWOC,30,NET 30,,,,N,1701 S. 105TH STREET,OMAHA,NB,68124
HARCO,HARCO INCENTIVES,HARCOINCENTIVES,C3,CIT NET 30,FEDGROUND,,,Y,333 S. VAN BRUNT ST.,ENGLEWOOD,NJ,07631
HARDING,HARDING BROTHERS RETAIL LIMITED,HARDINGBROTHERSRETAILLIMITED,60,NET 60,ROUTING,,,Y,AVONMOUTH WAY,BRISTOL,XX,BS11 8DD
HARDROCK,HARD ROCK,HARDROCK,C3,CIT NET 30,,,,Y,5701 STIRLING ROAD,DAVIE,FL,33314
HARMON8036,HARMON STORES#8036,HARMONSTORES8036,30,NET 30,,,,N,335 SOUTH AVE. EAST,WESTFIELD,NJ,07090
HARMON8037,HARMON  STORES 8037,HARMONSTORES8037,30,NET 30,,,,N,165 CENTRAL PARK AVE. /ROUTE 100,HARTDALE,NY,10530
HARMON8041,HARMON# 8041,HARMON8041,30,NET 30,,,,N,WESTWOOD PLAZA 700-34 BROADWAY,WESTWOOD,NJ,07675
HARMONSHOE,HARMON SHOES,HARMONSHOES,C3,CIT NET 30,CUSTOMERPU,,,Y,7305 SPRUCE MILL DRIVE,YARDLEY,PA,19067
HARPS,HARPS DISTRIBUTION CENTER,HARPSDISTRIBUTIONCENTER,,,,,,N,701 N. OLD MISSOURI RD.,SPRINGDALE,AR,72765
HARRISCO,HARRISCO,HARRISCO,CC,CREDIT CARD,,,,N,1367 MINUET ST.,HENDERSON,NV,89052
HARRISJE,HARRIS JEWELRY,HARRISJEWELRY,30,NET 30,,,,N,800 PRIME PLACE,HAUPPAUGE,NY,11788
HARRISMICH,HARRIS MICHAEL JEWELRY,HARRISMICHAELJEWELRY,CO,C.O.D.,,,,N,215 CENTRAL AVENUE,LAWERANCE,NY,11559
HARRISORIG,HARRIS ORIGINALS,HARRISORIGINALS,30,NET 30,UPSC,,,N,800 PRIME PLACE,HAUPPAUGE,NY,11788
HART,HARTSTORES,HARTSTORES,,,,,,N,XXXXXX,XXXXXX,XX,
HARTDPTST,HART DEPARTMENT STORES,HARTDEPARTMENTSTORES,C3,CIT NET 30,,,,N,9001 LOUIS LAFONYAINE BLVD,MONTREAL,QC,QCH1J2C5
HARTINC,MAGASINS HART STORES INC.,MAGASINSHARTSTORESINC,C3,CIT NET 30,,,,N,900 PLACE PAUL -KANE,QUEBEC,CA,H7M2T2
HASDIST,HEART AND SOUL DIST.,HEARTANDSOULDIST,,,,,,Y,345 HIGHWAY 9 SOUTH,MANAPLAN,NJ,07726
HASSNMOHAM,MR HASSN MOHAMMAD ALHABSHI,MRHASSNMOHAMMADALHABSHI,WR,WIRE,FEDGROUND,,,Y,QASIM ZEINAH STREET BESIDE PANDAH,JEDDAH,XX,XXXXX
HAUTELOOK,HAUTELOOK,HAUTELOOK,C3,CIT NET 30,,,,Y,1212 S. FLOWER STREET,LOS ANGELES,CA,90015
HAVANA,HAVANA HOUSE,HAVANAHOUSE,CO,C.O.D.,,,,N,8200 STOCKDALE HWY D-6,BAKERFIELD,CA,93311
HAYWOOD,HAYWOOD HOUSE INC.,HAYWOODHOUSEINC,CC,CREDIT CARD,,,,N,3421 PARKWAY PO BOX 929,PIGEON FORGE,TN,37863
HBATHLETIC,HB ATHLETIC INC.,HBATHLETICINC,WR,WIRE,,,,Y,56 HARRISON STREET,NEW ROCHELLE,NY,10801
HBMIAMI,HANDBAGS OF MIAMI LLC,HANDBAGSOFMIAMILLC,3A,CIT NET 30 DAYS,,,,Y,900 NW 27TH AVE STE B4,"AVENTURA, FLORIDA 33180",,33147
HBNET,H B NET,HBNET,CC,CREDIT CARD,,,,N,1867 52ND STREET,BROOKLYN,NY,11204
HC,HARD CANDY LICENSING LLC,HARDCANDYLICENSINGLLC,3A,CIT NET 30 DAYS,,,,Y,"6100 HOLLYWOOD BLVD, SUITE 407",HOLLYWOOD,FL,33024
HCIGROUP,HCI GROUP,HCIGROUP,30,NET 30,,,,N,13957 DROMMOND TRAIL,APPLE VALLEY,MN,55124
HDIAZJEWEL,HECTOR DIAZ JEWELER,HECTORDIAZJEWELER,CO,C.O.D.,,,,N,249 SANFRANCISCO ST OLD,SAN JUAN,PR,00901
HEART,HEART AND SOUL DIST,HEARTANDSOULDIST,3B,CIT NET 10 DAYS,,,,Y,345 HIGHWAY 9 SOUTH,MANALAPAN,NJ,07726
HEAVENLY,HEAVENLY COUTURE,HEAVENLYCOUTURE,CO,C.O.D.,,,,N,725 BREA CANYON RD. SUITE1,WALNUT,CA,91789
HEAVENLYCO,HEAVENLY COUTURE,HEAVENLYCOUTURE,,,,,,N,WH 15 (WAREHOUSE),BREA,CA,92821
HEB,H-E-B,HEB,2D,2% 10 DAYS NET 30 DAYS,,,,Y,CORP. 108-SA 45,SAN ANTONIO,TX,78258
HEIDEN,HEIDENHEIMER,HEIDENHEIMER,30,NET 30,,,,N,105 S MAIN,WINTERS,TX,79567
HEINEMANN,"HEINEMANN AMERICAS, INC",HEINEMANNAMERICASINC,60,NET 60,FEDGROUND,,,Y,550 BILTMORE WAY,MIAMI,FL,33134
HENNS,HENNS CLOTHING CENTER,HENNSCLOTHINGCENTER,30,NET 30,,,,N,208 NORTH MAIN,GORDON,NE,69343
HERNAN,E& S CARGO /HERMAN ACEVEDO,ESCARGOHERMANACEVEDO,30,NET 30,,,,N,39 WEST 31ST,NEW YORK,NY,10001
HFM,HF M INC.,HFMINC,CC,CREDIT CARD,,,,N,3555 LAS VEGAS BLVD.S.,LAS VEGAS,NE,89109
HGARDINER,GARDINER INC.,GARDINERINC,30,NET 30,,,,N,1743 DALLAS TRADE MART,DALLAS,TX,75207
HGT,H.G.T.,HGT,CO,C.O.D.,,,,N,2267 NORTH WEST MILLITARY HIGHWAY,SAN ANTANIO,TX,7813
HHACCESSOR,H H ACCESSORIES,HHACCESSORIES,CO,C.O.D.,,,,N,1265 BROADWAY,NEW YORK,NY,10001
HHCAPITAL,H H CAPITAL FIRST INC.,HHCAPITALFIRSTINC,30,NET 30,,,,N,1588 MT. EPHRAIM AVENUE,CAMDEN,NJ,08104
HIBISCUSHI,HIBISCUS HILL,HIBISCUSHILL,CC,CREDIT CARD,,,,N,2911 GRAND AVENUE,COCONUT GROVE,FL,33133
HIFAS,HI FASHION DEPT STORE/CROWLEY,HIFASHIONDEPTSTORECROWLEY,,,,,,N,9950 NW 17ST #105,DORAL,FL,33172
HIFASHION,HI FASHION DEPT STORE,HIFASHIONDEPTSTORE,,,,,,N,PO BOX 1527,"ROADTOWN, TORTOLA",,VG1110
HIGHDESIGN,HIGH DESIGN JEWELRY,HIGHDESIGNJEWELRY,CO,C.O.D.,,,,N,1000 6TH AVENUE BETWEEN 37TH AND38TH,NEW YORK,NY,10018
